Department,Department Name,Division,Gender,Base Salary,2024 Overtime Pay,2024 Longevity Pay,Grade
FIN,Department of Finance,FIN 32 Tax Operations,F,87523,0,5490.56,16
ORE,Office of Racial Equity and Social Justice,ORE 25 Director's Office,F,123906.23,0,0,N25
DEP,Department of Environmental Protection,DEP 80 Recycling and Refuse Services,M,159596.07,0,6880.68,M3
DHS,Office of Emergency Management and Homeland Security,DHS 49 Director's Office,F,130181,0,8166.53,N25
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,87523,0,8370.23,16
HHS,Department of Health and Human Services,HHS 60 Children Youth and Family Services Division,F,125858.39,0,0,N25
DEP,Department of Environmental Protection,DEP 80 Administration and Operations,F,119032,0,7467.13,23
FRS,Fire and Rescue Services,FRS 45 Training,F,87523,0,8370.23,16
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,81674.25,0,10158.99,21
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Security and System Admin,M,169555,0,0,M3
FRS,Fire and Rescue Services,FRS 45 Support Services Division,F,87523,0,5490.56,16
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,91392,616.24,0,N17
CEC,Community Engagement Cluster,CEC 16 Business Management,F,95458,0,0,N18
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,M,149708.01,0,0,M3
FIN,Department of Finance,FIN 32 General Accounting,F,119032,0,3673.91,23
DGS,Department of General Services,DGS 36 Property Management,M,124464,42607.27,0,N24
REC,Department of Recreation,REC 72 Facilities Division,F,119032,0,0,N23
LIB,Department of Public Libraries,LIB 71 Business Office,F,130181,0,8166.53,N25
HCA,Department of Housing and Community Affairs,HCA 76 Grants Management,M,130181,0,8166.53,25
REC,Department of Recreation,REC 72 Business Services,F,119032,12919.43,5023.48,N23
DEP,Department of Environmental Protection,DEP 80 Design and Construction,M,119032,0,11383.55,23
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,136188,0,13024.23,26
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,87523,0,8370.23,16
FIN,Department of Finance,FIN 32 Tax Operations,F,119032,415.96,7467.13,23
DGS,Department of General Services,DGS 36 Facilities Major Programs,M,142495,0,8938.92,27
LIB,Department of Public Libraries,LIB 71 Human Resources and Staff Development,M,130181,0,0,N25
OLO,Office of Legislative Oversight,OLO 03 Legislative Oversight Staff,M,193628.27,0,0,M2
OMB,Office of Management and Budget,OMB 31 Office of Management and Budget,F,149112,0,0,N28
DOT,Department of Transportation,DOT 50 Traffic Engineering Studies Section,M,108899,0,10414.6,21
CEX,Offices of the County Executive,CEX 15 Business Advancement Team,F,119032,0,3827.54,N23
DOT,Department of Transportation,DOT 50 Director Management Services,F,166463.18,0,0,M3
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,76986,169.92,4829.55,13
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,108899,0,6115.34,21
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,91392,0,5733.27,N17
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,130181,2215.56,12449.85,25
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,98488.43,0,0,20
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,M,169555,0,0,M3
LIB,Department of Public Libraries,LIB 71 Collection Management,F,43761.92,0,2745.35,16
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,149112,0,9354.05,N28
COR,Correction and Rehabilitation,COR 42 MSD Fiscal Services,F,87523,0,5490.56,16
FRS,Fire and Rescue Services,FRS 45 Property and Supply Section,F,169555,0,0,M3
LIB,Department of Public Libraries,LIB 71 Human Resources and Staff Development,F,108899,0,0,N21
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OSP Employee Productivity Services,M,194980,0,0,M2
PRO,Office of Procurement,PRO 35 Procurement Operations Section,M,169555,0,0,M3
HHS,Department of Health and Human Services,HHS 60 Office of Community Affairs Division,F,127509.43,0,6957.79,N25
DOT,Department of Transportation,DOT 50 Transit Management Services,F,194980,0,0,M2
DGS,Department of General Services,DGS 36 Building Design and Construction,F,149112,0,4602.26,N28
DEP,Department of Environmental Protection,DEP 80 Intergovernmental Affairs,M,181149,0,0,M2
DPS,Department of Permitting Services,DPS 75 Zoning Review,M,108899,0,1586.68,21
DGS,Department of General Services,DGS 36 Building Design and Construction,M,142495,0,8938.92,27
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,M,87523,0,856.44,16
HCA,Department of Housing and Community Affairs,HCA 76 Multi-Family Housing Program,M,169555,0,0,M3
DEP,Department of Environmental Protection,DEP 80 Resource Conversion,M,169555,0,0,M3
CEX,Offices of the County Executive,CEX 15 Business Advancement Team,F,125093.83,0,0,N25
DGS,Department of General Services,DGS 36 Building Design and Construction,M,164023.37,0,0,M3
DPS,Department of Permitting Services,DPS 75 Customer Support and Outreach Division,F,194980,0,0,M2
HCA,Department of Housing and Community Affairs,HCA 76 Grants Management,F,163871.33,0,0,M3
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Telecommunications Solutions,M,194980,0,0,M2
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,159702.33,3448.41,4179.27,M3
POL,Department of Police,POL 47 HQ Office of the Chief,F,95458,0,5988.2,N18
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OMC MC311 Call Center,F,76986,41.15,2376.18,13
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,194980,0,0,M2
LIB,Department of Public Libraries,LIB 71 Business Office,F,87523,0,8370.23,16
DGS,Department of General Services,DGS 36 Contracting and Accounts Payable,F,119032,0,1734.28,23
HHS,Department of Health and Human Services,HHS 60 Office of Community Affairs Division,F,119032,0,3673.91,23
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,108899,0,6831.44,N21
DEP,Department of Environmental Protection,DEP 80 Administration and Operations,M,169555,0,0,M3
FRS,Fire and Rescue Services,FRS 45 Fiscal Management Division,M,194980,0,0,M2
DGS,Department of General Services,DGS 36 Fleet Management Services,M,87523,11357.28,5490.56,16
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Voice Services,M,104197,24094.34,9964.8,20
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Data Innovation Team,F,149112,0,0,N28
BOE,Board of Elections,BOE 24 Registration Services,F,108899,39043.26,10414.6,21
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,130181,0,4017.99,N25
FIN,Department of Finance,FIN 32 Treasury Operations,F,87523,2520.09,2701.48,16
FIN,Department of Finance,FIN 32 Division of Fiscal Management,M,194980,0,0,M2
LIB,Department of Public Libraries,LIB 71 Gaithersburg Library,M,104197,0,6536.46,N20
FIN,Department of Finance,FIN 32 Tax Operations,F,87523,34.74,8370.23,16
LIB,Department of Public Libraries,LIB 71 Marilyn J Praisner Library,F,119559.33,0,0,N25
CEX,Offices of the County Executive,CEX 15 Chief Administrative Officer's Office,M,207000,0,0,EX2
DGS,Department of General Services,DGS 36 Fleet Automotive Heavy Equipment,M,169555,0,0,M3
BOE,Board of Elections,BOE 24 Polling Place Management,M,108899,20982.72,4204.06,21
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,164091.5,0,0,M3
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,169555,0,0,M3
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,87523,0,5490.56,16
FRS,Fire and Rescue Services,FRS 45 Fleet Support,F,119032,0,11191.03,23
POL,Department of Police,POL 47 MSB Training and Education Division,F,108899,8588.13,2353.1,21
OMB,Office of Management and Budget,OMB 31 Office of Management and Budget,F,163363,0,5042.06,N30
DGS,Department of General Services,DGS 36 Building Design and Construction,F,142495,0,13627.48,27
REC,Department of Recreation,REC 72 Countywide Programs,F,113906,425.1,6228.51,N23
POL,Department of Police,POL 47 MSB Personnel Division Administration,F,119032,0,7467.13,N23
DGS,Department of General Services,DGS 36 Administration and Budget,F,108899,1672.34,6831.44,N21
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,95458,0,9129.02,18
DGS,Department of General Services,DGS 36 Fleet Automotive Heavy Equipment,F,120720.28,0,0,N25
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,76986,0,2376.18,13
DPS,Department of Permitting Services,DPS 75 Customer Support,F,162254,0,0,M3
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Technical Support Team,M,149112,0,4602.26,N28
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,87523,0,5490.56,16
FIN,Department of Finance,FIN 32 Accounts Receivable,F,108899,0,0,N21
DOT,Department of Transportation,DOT 50 Traffic Engineering and Operations Management Services,F,130181,0,8166.53,N25
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 ODT Payroll/Comp/BI,F,176054,0,0,N32
COR,Correction and Rehabilitation,COR 42 MSD Management Services Division,F,186583,0,0,M2
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIOs Office,F,91347,0,2681.57,N18
DOT,Department of Transportation,DOT 50 Commuter Services,M,119032,0,8860.56,23
PRO,Office of Procurement,PRO 35 Procurement Operations Section,F,169555,0,0,M3
PRO,Office of Procurement,PRO 35 Business Relations and Compliance Division,F,194908.33,0,0,M2
DEP,Department of Environmental Protection,DEP 80 Stewardship Programs,F,130181,0,0,N25
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,95458,0,5533.69,18
CUS,Community Use of Public Facilities,CUS 70 Core Services Team,F,108899,1070.1,3361.18,21
DGS,Department of General Services,DGS 36 Fleet Management Services,M,87523,810.74,2602.79,16
REC,Department of Recreation,REC 72 Facilities Division,M,108899,0,10414.6,21
DGS,Department of General Services,DGS 36 Facilities,M,91392,7070.08,5733.27,N17
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Vendor and Contract Management,M,169555,0,0,M3
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Integrated Justice Information Systems,F,211554,0,6529.52,N40
DGS,Department of General Services,DGS 36 Energy and Sustainability,M,194936.88,0,0,M2
DOT,Department of Transportation,DOT 50 Transportation Planning and Design Section,M,169555,0,0,M3
CAT,County Attorney's Office,CAT 30 Administration,F,119032,0,7467.13,N23
DOT,Department of Transportation,DOT 50 Highway Services,M,119032,10355.43,7467.13,N23
DOT,Department of Transportation,DOT 50 Parking Management Parking Operations,F,130181,0,8166.53,N25
CAT,County Attorney's Office,CAT 30 Support Services,F,119032,0,7467.13,N23
HHS,Department of Health and Human Services,HHS 60 Office of Community Affairs Division,F,108899,0,6831.44,N21
FIN,Department of Finance,FIN 32 Tax Operations,M,87523,0,6403.52,16
DGS,Department of General Services,DGS 36 Building Design and Construction,M,194980,0,0,M2
DGS,Department of General Services,DGS 36 Building Design and Construction,M,169555,0,0,M3
REC,Department of Recreation,REC 72 Office of the Director,F,227000,0,0,EX1
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,130181,0,4017.99,N25
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,M,169555,0,0,M3
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,157528,0,0,M3
HCA,Department of Housing and Community Affairs,HCA 76 Community Development Neighborhood Revitalization,M,169555,0,0,M3
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,169555,0,0,M3
LIB,Department of Public Libraries,LIB 71 Business Office,F,87523,0,8317.52,16
REC,Department of Recreation,REC 72 Business Services,F,119728.74,0,0,N25
OCP,Office of Consumer Protection,OCP 39 Investigations,F,130181,0,4017.99,25
DGS,Department of General Services,DGS 36 Fleet Management Administration,M,110588,0,0,N23
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Community Technology (GF),F,169555,0,0,M3
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,130181,0,5554.27,N25
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,95458,0,9129.02,18
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,95458,0,5988.2,18
CAT,County Attorney's Office,CAT 30 Health and Human Services,F,176054,0,11044.08,N32
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,108899,0,10414.6,21
CAT,County Attorney's Office,CAT 30 Insurance Defense Litigation,F,194980,0,0,M2
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,95458,217.53,8305.2,18
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,95458,0,2946.31,18
COR,Correction and Rehabilitation,COR 42 MSD Information Technology,M,136188,0,8543.3,26
NDA,Non-Departmental Account,NDA 99 MCERP,M,208625,0,6439.18,N39
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,M,138535,0,0,N28
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,124464,0,0,24
PRO,Office of Procurement,PRO 35 Business Relations and Compliance Division,M,130181,0,3115.26,25
DHS,Office of Emergency Management and Homeland Security,DHS 49 Hazmat Permitting,F,95458,0,9129.02,18
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,83837,14719.88,5259.26,15
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,176054,0,0,N32
HHS,Department of Health and Human Services,HHS 60 Children Youth and Family Services Division,F,119032,0,11383.55,23
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,M,136188,0,510.72,26
POL,Department of Police,POL 47 CRB Community Engagement Division Community Engagement Section,M,128578,0,3479.07,A1
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,104197,0,3098.51,20
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,107973.26,0,0,N25
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,M,108899,0,3361.18,21
